,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,the valley,20,AI,1595897422,78,18.22,-63.06,82.13,13.87
1,vaini,75,TO,1595897462,88,-21.2,-175.2,73.4,14.99
2,ishinomaki,75,JP,1595897462,94,38.42,141.3,69.8,4.7
3,atar,1,MR,1595897463,36,20.52,-13.05,92.57,9.64
4,severo-kurilsk,45,RU,1595897463,82,50.68,156.12,55.27,17.07
5,farafangana,84,MG,1595897463,88,-22.82,47.83,62.76,8.63
6,mar del plata,75,AR,1595897372,86,-38.0,-57.56,41.88,9.17
7,bengkulu,100,ID,1595897464,74,-3.8,102.27,77.27,4.85
8,ayan,100,RU,1595897464,79,56.45,138.17,62.42,9.66
9,hilo,75,US,1595897464,58,19.73,-155.09,78.75,6.93
10,lasa,5,IT,1595897464,100,46.62,10.7,59.0,1.74
11,east london,0,ZA,1595897464,74,-33.02,27.91,55.96,9.28
12,hobart,75,AU,1595897339,93,-42.88,147.33,49.66,5.82
13,plouzane,20,FR,1595897464,100,48.38,-4.62,54.14,4.7
14,moose factory,1,CA,1595897464,78,51.26,-80.61,71.6,2.24
15,saldanha,0,ZA,1595897465,70,-33.01,17.94,46.4,5.82
16,atuona,0,PF,1595897465,69,-9.8,-139.03,79.72,25.37
17,carnarvon,0,AU,1595897465,72,-24.87,113.63,59.0,12.75
18,loyga,4,RU,1595897465,93,61.08,44.61,56.14,2.06
19,qaanaaq,0,GL,1595897465,62,77.48,-69.36,43.77,1.97
20,zhigansk,34,RU,1595897466,69,66.77,123.37,52.16,15.35
21,clyde river,90,CA,1595897466,100,70.47,-68.59,41.0,12.75
22,albany,0,US,1595897298,67,42.6,-73.97,88.21,5.57
23,cayenne,82,GF,1595897466,100,4.93,-52.33,77.0,7.49
24,busselton,93,AU,1595897466,98,-33.65,115.33,50.92,10.07
25,puerto ayora,96,EC,1595897466,85,-0.74,-90.35,68.65,9.08
26,punta arenas,35,CL,1595897212,47,-53.15,-70.92,35.29,14.99
27,tasiilaq,92,GL,1595897467,87,65.61,-37.64,42.8,3.36
28,kaitangata,100,NZ,1595897467,71,-46.28,169.85,46.99,4.0
29,chuy,100,UY,1595897463,73,-33.7,-53.46,48.27,7.11
30,rikitea,77,PF,1595897467,81,-23.12,-134.97,72.09,13.24
31,port alfred,0,ZA,1595897467,74,-33.59,26.89,54.45,8.5
32,chaihe,3,CN,1595897468,58,44.77,129.7,79.05,2.21
33,hermanus,0,ZA,1595897468,79,-34.42,19.23,52.0,5.79
34,champerico,90,GT,1595897468,100,14.3,-91.92,77.0,4.7
35,yellowknife,75,CA,1595897468,93,62.46,-114.35,62.6,11.41
36,nishihara,40,JP,1595897469,83,26.18,127.76,86.0,11.41
37,roald,100,NO,1595897469,82,62.58,6.13,58.73,6.93
38,lorengau,53,PG,1595897469,73,-2.02,147.27,83.1,2.19
39,avarua,3,CK,1595897469,83,-21.21,-159.78,71.6,5.82
40,victoria,94,HK,1595897386,70,22.29,114.16,86.99,8.01
41,norman wells,75,CA,1595897469,52,65.28,-126.83,68.0,11.41
42,narasannapeta,99,IN,1595897470,77,18.42,84.05,83.3,4.18
43,kavaratti,100,IN,1595897470,82,10.57,72.64,81.68,16.08
44,leh,7,IN,1595897470,43,34.17,77.58,59.5,5.99
45,cairns,36,AU,1595897470,53,-16.92,145.77,77.0,8.05
46,butaritari,95,KI,1595897470,78,3.07,172.79,83.12,10.38
47,jamestown,1,US,1595897470,88,42.1,-79.24,74.19,8.05
48,tahoua,100,NE,1595897470,88,14.89,5.27,77.0,6.93
49,lebu,5,CL,1595897471,76,-37.62,-73.65,45.28,13.15
50,pingzhuang,37,CN,1595897471,61,42.04,119.29,76.01,12.24
51,lichinga,11,MZ,1595897471,100,-13.31,35.24,50.83,8.05
52,berlevag,0,NO,1595897471,72,70.86,29.09,59.34,8.23
53,provideniya,90,RU,1595897471,93,64.38,-173.3,51.8,6.71
54,pokhara,72,NP,1595897407,76,28.23,83.98,75.54,1.01
55,souillac,40,MU,1595897472,88,-20.52,57.52,66.2,3.36
56,upernavik,85,GL,1595897472,86,72.79,-56.15,44.4,5.57
57,margate,23,GB,1595897472,87,51.38,1.39,62.26,3.0
58,benevides,0,BR,1595897472,69,-1.36,-48.24,78.8,10.29
59,bluff,100,NZ,1595897472,84,-46.6,168.33,46.0,1.99
60,esperance,47,AU,1595897473,93,-33.87,121.9,53.6,11.41
61,elko,1,US,1595897473,20,41.0,-115.5,80.06,19.46
62,bambous virieux,40,MU,1595897473,88,-20.34,57.76,66.58,3.36
63,saint helens,75,GB,1595897473,82,53.45,-2.73,56.39,14.99
64,road town,0,VG,1595897473,96,18.42,-64.62,81.34,11.01
65,kamina,0,CD,1595897474,48,-8.74,24.99,57.79,2.62
66,nanakuli,40,US,1595897474,49,21.39,-158.15,86.63,12.75
67,mataura,100,NZ,1595897474,84,-46.19,168.86,46.0,1.99
68,flin flon,43,CA,1595897474,47,54.77,-101.86,73.74,6.13
69,muros,17,ES,1595897474,85,42.78,-9.06,70.0,3.51
70,huarmey,87,PE,1595897474,86,-10.07,-78.15,60.04,7.83
71,ponta do sol,20,PT,1595897475,64,32.67,-17.1,68.38,16.11
72,ushuaia,40,AR,1595897465,80,-54.8,-68.3,33.8,26.4
73,dunedin,100,NZ,1595897475,55,-45.87,170.5,51.15,1.45
74,vostok,5,RU,1595897475,61,46.49,135.88,77.14,4.16
75,broome,1,US,1595897476,88,42.25,-75.83,75.04,3.36
76,alwar,76,IN,1595897476,57,27.57,76.6,89.11,9.6
77,kolpny,0,RU,1595897476,77,52.23,37.04,60.12,5.59
78,la ronge,5,CA,1595897476,36,55.1,-105.28,78.8,9.17
79,yarega,65,RU,1595897476,68,63.44,53.58,57.94,3.49
80,port lincoln,80,AU,1595897476,66,-34.73,135.87,53.2,9.95
81,bonthe,80,SL,1595897477,82,7.53,-12.51,75.6,8.16
82,tuktoyaktuk,75,CA,1595897477,68,69.45,-133.04,64.4,17.22
83,coquimbo,0,CL,1595897477,87,-29.95,-71.34,53.6,2.24
84,viedma,61,AR,1595897409,70,-40.81,-63.0,40.46,7.61
85,itarema,0,BR,1595897477,79,-2.92,-39.92,77.45,13.29
